premise,hypothesis,true_label,predicted_label,word_overlap,categories,has_negation
"A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background.",Maids get ready to clean the house.,neutral,contradiction,28.57%,negation,True
Two kids are standing in the ocean hugging each other.,Two kids enjoy their day at the beach.,neutral,entailment,37.50%,"quantifier, false_entailment",False
A girl in a striped black and white sweater holds on to her friend who is bent over wearing a hooded black sweater and torn blue jeans.,The girl is wearing jeans.,neutral,entailment,80.00%,"high_overlap, false_entailment",False
"People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",The people are watching a soccer game.,neutral,contradiction,42.86%,other,False
A musical group performing on a green carpet in front of small televisions.,A rock band is performing in an electronics store.,neutral,contradiction,33.33%,other,False
A woman in a gray shirt working on papers at her desk.,Lady showing result of anger on her boss scolding,contradiction,neutral,22.22%,other,False
A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags.,The Slinky is black.,contradiction,neutral,25.00%,short_hypothesis,False
A boy is standing at the edge of a wave with the sun setting or rising in the background.,A boy is school.,contradiction,neutral,75.00%,"high_overlap, short_hypothesis",False
Several men in protective suits are rolling a man on a gurnee.,A man is on a gurney,entailment,contradiction,60.00%,"quantifier, false_contradiction",False
Several men in protective suits are rolling a man on a gurnee.,A man is being taken into the hospital,neutral,contradiction,25.00%,quantifier,False
A man is jumping unto his filthy bed.,The man is dirty.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
Sidewalk vendor dressed in white shirt brown pants sells grilled corn.,The corn came straight from the field by truck,neutral,contradiction,0.00%,low_overlap,False
A kid in a red and black coat is laying on his back in the snow with his arm in the air and a red sled is next to him.,It is a cold day.,entailment,neutral,40.00%,"negation, missed_entailment",True
A white-haired man in a white shirt looks at information in an orange-red binder.,A man is a secret agent orange peeler.,contradiction,neutral,28.57%,other,False
A thrill seeker uses her arms for balance while crossing a beam suspended high above craggy rocks.,A woman crosses a high-wire in a state of complete terror.,neutral,contradiction,11.11%,low_overlap,False
Produce market in India protected by umbrella shades.,THE grass was green,contradiction,neutral,0.00%,"low_overlap, short_hypothesis",False
Three men look on as two other men carve up a freshly barbecued hog in the backyard.,Other look while a man carves beef,contradiction,neutral,42.86%,other,False
A man dressed in bright colored clothing is sitting on a chair on the sidewalk playing an instrument for cash.,The man is singing on the street corner for money.,neutral,contradiction,55.56%,other,False
A little boy bowls in a carpeted hallway.,A boy is bowling.,entailment,contradiction,50.00%,"short_hypothesis, false_contradiction",False
A little boy bowls in a carpeted hallway.,A boy is rolling a ball in a hotel hallway.,neutral,contradiction,50.00%,other,False
A young girl kisses a ring-bearing boy at a wedding.,A boy turns his head away as a girl tries to kiss him.,neutral,contradiction,25.00%,other,False
A girl in a pink tank top and her boyfriend sitting on stone steps.,A boy and girl are kissing.,neutral,contradiction,50.00%,other,False
"A well built black man stands in the subway, listening to headphones.",A man listens to music while waiting for the train.,entailment,neutral,40.00%,missed_entailment,False
"There are three men in this picture, two are on motorbikes, one of the men has a large piece of furniture on the back of his bike, the other is about to be handed a piece of paper by a man in a white shirt.",Three men are on motorcycles.,contradiction,entailment,80.00%,"high_overlap, missed_contradiction",False
Professional women at the registration table of an event while men in suits look on.,People are partying.,contradiction,neutral,0.00%,"low_overlap, short_hypothesis",False
A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by.,A bicyclist rides past an intricately designed church on a pretty day,neutral,contradiction,18.18%,low_overlap,False
A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by.,A bicyclist rides past an abandoned warehouse on a rainy day,neutral,contradiction,20.00%,other,False
A person dressed in red and black outside a cracked wall.,A person in red and black near a brick wall.,neutral,entailment,77.78%,"high_overlap, false_entailment",False
Two people with bags next to a street at night.,The people are together,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
"A black dog is drinking next to a brown and white dog that is looking at an orange ball in the lake, whilst a horse and rider passes behind.",Two short haired dogs of different colors drinking by a lake.,neutral,entailment,18.18%,"low_overlap, false_entailment",False
"Two teams of children, one green the other red, play each other in a game of Rugby while it rains.",The children are wearing red and green to practice thier Christmas show.,contradiction,neutral,16.67%,"low_overlap, quantifier",False
Five little boys are playing baseball.,A few little boys playing baseball outside.,entailment,neutral,42.86%,"quantifier, missed_entailment",False
Someone in a red and white uniform is driving a red and white motorcycle down a track with the front wheel in the air.,A man rides and ATV.,contradiction,entailment,40.00%,missed_contradiction,False
Someone in a red and white uniform is driving a red and white motorcycle down a track with the front wheel in the air.,A man pops a wheely on a track for onlookers.,neutral,contradiction,25.00%,other,False
Two women playing field hockey on AstroTurf.,Women re-sod a field hockey field.,contradiction,neutral,50.00%,other,False
A goalie tries to catch a ball during a soccer game.,a goalie is doing his job as a goalie.,entailment,neutral,25.00%,missed_entailment,False
A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass.,The women is drinking water.,neutral,contradiction,0.00%,low_overlap,False
A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass.,A women in black drinks.,entailment,contradiction,60.00%,false_contradiction,False
"Inside the igloo, the young man gets ready for his overnight stay.",The young man is resting.,neutral,entailment,60.00%,false_entailment,False
"Inside the igloo, the young man gets ready for his overnight stay.",The young man gets ready to leave.,contradiction,entailment,71.43%,"high_overlap, missed_contradiction",False
Two female basketball teams watch suspenseful as the basketball nears the basket.,Two teams are following the movement of a basketball.,entailment,neutral,33.33%,missed_entailment,False
Man in brown and red checkered button up shirt and blue jeans makes a male and female laugh.,A person in casual clothing is causing two others to be merry.,entailment,contradiction,16.67%,"low_overlap, false_contradiction",False
A girl with a purple sweater and a green headband is doing classwork in a classroom.,A girl with a sweater and headband is doing her homework after school.,contradiction,neutral,66.67%,other,False
A youngster straddles a small makeshift bench while his companion plays in the doorway nearby.,A kid straddles a bench,neutral,entailment,75.00%,"high_overlap, false_entailment",False
Two children standing in the grass being sprayed by a hose.,Children are playing tag in the grass,contradiction,neutral,57.14%,other,False
A young adolescent is jumping into a pool.,The child is scared to jump in the water.,contradiction,neutral,12.50%,low_overlap,False
Two people are looking at something in New York City.,Two people looking at New York.,neutral,entailment,83.33%,"high_overlap, false_entailment",False
Two girls play with origami.,The girls make paper cranes,neutral,contradiction,20.00%,other,False
Two girls play with origami.,The girls hold paper,entailment,contradiction,25.00%,"short_hypothesis, false_contradiction",False
A photographer snaps a midair action shot of a snowboarder.,The midair shot snaps at a boarder of snow.,contradiction,entailment,55.56%,"negation, missed_contradiction",True
A photographer snaps a midair action shot of a snowboarder.,The camera is on a tripod.,neutral,contradiction,16.67%,"negation, low_overlap",True
An adult ballerina shows you children how to dance.,A ballerina is teaching kids ballet.,entailment,neutral,16.67%,"low_overlap, missed_entailment",False
2 woman walking down the street next to graffiti,The grafitti is a picture of a mouse.,neutral,contradiction,14.29%,low_overlap,False
2 woman walking down the street next to graffiti,The woman are by grafitti.,entailment,neutral,40.00%,missed_entailment,False
A hot-air balloon getting filled.,A hot-air balloon is flying over a mountain range.,contradiction,neutral,37.50%,other,False
An Indian man standing on the bank of a river.,There is a black man fishing.,neutral,contradiction,33.33%,other,False
Two guys and a woman standing and talking in a playground.,Three adults are standing and thinking about space.,neutral,contradiction,25.00%,other,False
A man in a yellow shirt does East Asian calligraphy.,A man does Japanese calligraphy.,neutral,contradiction,80.00%,high_overlap,False
Two girls talk at an ice skating rink.,Two women compete in a speed skating race.,contradiction,neutral,25.00%,other,False
A group of people standing in front of a club.,There are seven people leaving the club.,contradiction,neutral,28.57%,other,False
Balding man in gray sweater plays with his dog.,A man puts the sweater he knitted on a dog.,contradiction,neutral,33.33%,other,False
The man in black has a condom on his head.,The man is wearing a prophylactic on his head.,entailment,neutral,66.67%,missed_entailment,False
Four female children gather around a brown table to paint.,Girls are playing outside.,neutral,contradiction,0.00%,"low_overlap, short_hypothesis",False
Two girls and a guy are involved in a pie eating contest.,Three people are stuffing their faces.,entailment,contradiction,16.67%,"low_overlap, false_contradiction",False
A couple in bathing suits walk on a beach.,The couple are together,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
A man in a plaid shirt and brown pants walking around town with one hand in his pocket.,The man is going for a walk.,entailment,neutral,28.57%,missed_entailment,False
A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio.,the woman is white,contradiction,neutral,50.00%,short_hypothesis,False
A soccer game in a large area with 8 yellow players and 4 black players.,There is a soccer game with 12 players.,entailment,contradiction,62.50%,false_contradiction,False
A soccer game in a large area with 8 yellow players and 4 black players.,There is a soccer game with 12 male players.,neutral,contradiction,55.56%,other,False
Four children are dressed as clowns and dancers on a stage while another two children dressed as clowns are suspended from ropes.,Six children are putting on a clown show.,entailment,neutral,50.00%,"negation, missed_entailment",True
People are getting money our of an ATM.,People are in the check out line.,contradiction,entailment,28.57%,missed_contradiction,False
A man and a woman is walking with a dog across a beach,There is a couple.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
Two little girls play in a fountain.,The two girls are less than 5 years old,neutral,entailment,22.22%,false_entailment,False
Closeup of an elderly woman walking across a street with her male companion.,A man helps a woman cross the street.,neutral,entailment,28.57%,false_entailment,False
Two men wearing brown hats are doing work on a yellow house.,Two men are hitchhiking to New York.,contradiction,neutral,42.86%,other,False
A man and woman and two small children are sitting in the floor with wrapped Christmas presents.,The presents have all been opened.,contradiction,neutral,16.67%,"low_overlap, quantifier",False
A man and woman and two small children are sitting in the floor with wrapped Christmas presents.,Everyone in the photo are related.,neutral,contradiction,50.00%,other,False
A group of young women wearing black dresses stand in a row with three of them holding bouquets.,A group of women with flowers standing in a circle.,contradiction,entailment,66.67%,missed_contradiction,False
"A group of six people, men and women, hold up a pole in the middle of a forest while another woman monitors this action.",The woman monitors this action closely.,neutral,entailment,66.67%,"negation, false_entailment",True
"Several people are walking on a street and there is a large, blue crane towering and leaning against a building.","They are walking rapidly away from a crane, which looks like it might tip over.",neutral,contradiction,20.00%,"long_hypothesis, quantifier",False
A young boy slides into home plate while playing little league baseball.,Children at waterpark splashing on hot day.,contradiction,neutral,0.00%,low_overlap,False
A single file line of children walk in front of a building.,Children in the open.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
"The tiny girl dressed in a butterfly ballet costume, waves her wand near a nutcracker statue.",A small girl dances in the nutcracker.,neutral,entailment,57.14%,false_entailment,False
A young girl performing the nutcracker.,watched by a group,neutral,contradiction,25.00%,short_hypothesis,False
A female dancer works on striking a pose.,The woman is practicing modeling.,entailment,neutral,0.00%,"low_overlap, missed_entailment",False
A man in a uniform is standing on the beach with a camera in his hands.,Coast guard records sound waves for their youtube page.,contradiction,neutral,0.00%,low_overlap,False
A man in a uniform is standing on the beach with a camera in his hands.,Bob was told the circus would be more fun.,contradiction,neutral,11.11%,low_overlap,False
"A young girl sitting on a white comforter on a bed covered with clothing, holding a yellow stuffed duck.",The clothes on the comforter are covering a big red stain.,neutral,contradiction,30.00%,other,False
A welder is working outside by some concrete ruble,A person works on some concrete,neutral,entailment,50.00%,"quantifier, false_entailment",False
Three hikers are hiking in a mountain filled with trees and snow.,the boy liked cowboys,contradiction,neutral,0.00%,"negation, low_overlap, short_hypothesis",True
Three hikers are hiking in a mountain filled with trees and snow.,they are girls there too,neutral,contradiction,20.00%,negation,True
A man in an orange shirt looking at his cellphone.,A man realizes he forgot his cellphone.,contradiction,neutral,57.14%,other,False
a white dog is tugging on a black rope,The black dog pulls the black rope because the dog rolled in charcoal.,contradiction,neutral,33.33%,other,False
"Three women, two wearing red shirts and one wearing a purple shirt, and a man, wearing a light blue shirt, jump on a basketball court with balls in their hands.",Some people's are playing basketball in basketball court,entailment,neutral,42.86%,"quantifier, missed_entailment",False
A young girl has her hands in a tub of water with leaves in it.,A girl washes toys outside.,contradiction,neutral,40.00%,other,False
"A man in a red shirt is sitting at his desk with one leg on the desk, using a computer with two screens set up side by side.",A male is not sitting outside programming his computer.,neutral,contradiction,44.44%,negation,True
A girl is posing outside.,A girl is taking a picture.,neutral,entailment,60.00%,false_entailment,False
A girl is feeding a goat.,They are outside.,entailment,neutral,0.00%,"low_overlap, short_hypothesis, missed_entailment",False
The front of the cafe must remain free of trash if customers are to be enticed to enter.,The doorway to the cafe is littered with trash and debris.,neutral,entailment,40.00%,false_entailment,False
The front of the cafe must remain free of trash if customers are to be enticed to enter.,The front door is clear of trash.,entailment,contradiction,42.86%,false_contradiction,False
A woman with blond-hair is sitting at a table and talking to a man with glasses.,A blonde woman sits with her legs crossed.,neutral,contradiction,37.50%,other,False
Two monks are visiting a big city.,The monks are dressed in their robes enjoying the big city.,entailment,neutral,40.00%,missed_entailment,False
A motor-cross rider in red splashes through mud and rain with his motorcycle.,A man enjoys the outdoors on a rainy day.,neutral,entailment,12.50%,"low_overlap, false_entailment",False
Man wearing a mask of an old man.,A man wears a green mask that turns him into a superhero.,contradiction,neutral,30.00%,other,False
older men talking and standing around.,The older men are visiting with each other.,entailment,neutral,25.00%,"quantifier, missed_entailment",False
A woman in a blue tank-top rides a blue bicycle in front of a crowd of meandering pedestrians.,A woman narrowly avoids hitting some pedestrians,neutral,contradiction,28.57%,quantifier,False
A couple is a standing together the woman is adjusting a flower on the man's lapel and they are dressed in wedding apparel.,People are going to a wedding.,entailment,neutral,33.33%,missed_entailment,False
"A young boy in a Cookie Monster t-shirt sits on the ground on a fall day, holding a fallen leaf in his hand as an expression of joy lights up on his face.",A young boy is playing in a pile of leaves.,entailment,neutral,55.56%,missed_entailment,False
Man walking in front of Queen and Portland Lofts and Condominiums.,A person is walking outside.,neutral,entailment,20.00%,false_entailment,False
"Three sisters, barefoot in pink dresses and who range in age from preschool to teenager are pictured on a beach as they look out at the Ocean.","Three sisters, barefoot in pretty pink dresses and who range in age from preschool to teenager",entailment,neutral,93.33%,"high_overlap, long_hypothesis, missed_entailment",False
"Three sisters, barefoot in pink dresses and who range in age from preschool to teenager are pictured on a beach as they look out at the Ocean.","Three sisters, barefoot in pink dresses and who range in age from preschool to 90",contradiction,neutral,92.86%,"high_overlap, long_hypothesis",False
A woman in a yellow dress transporting picked food from the fields to wherever it may need to go.,A woman transports her crops from the fields,entailment,neutral,62.50%,missed_entailment,False
A person performing a snowboarding trick on a high mountain.,A young man is picking up his girlfriend for a date.,contradiction,neutral,10.00%,"negation, low_overlap",True
A person performing a snowboarding trick on a high mountain.,A human being is snowboarding and doing tricks.,neutral,entailment,25.00%,"negation, false_entailment",True
A reson is in a blue canoe in front of some plants.,a blue canoe inside of some plants,contradiction,entailment,71.43%,"negation, high_overlap, quantifier, missed_contradiction",True
A bunch of people are walking in a crowded area.,A bunch of people are walking in a mall.,neutral,contradiction,87.50%,high_overlap,False
A bunch of people are walking in a crowded area.,A bunch of people are walking in a field.,neutral,contradiction,87.50%,high_overlap,False
Man with mustache plays violin.,The man is serenading a couple at a restaurant.,neutral,contradiction,12.50%,low_overlap,False
"Two black dogs on a snow covered ground, the ground appears blue in the background, one dog is jumping with feet off the ground.",The temperature is below zero.,neutral,contradiction,40.00%,negation,True
A man punting a football as fans from the opposing team watch in the background,A man catches a football,contradiction,entailment,75.00%,"high_overlap, missed_contradiction",False
Several men are sitting around a parking lot.,The people are tailgaiting.,neutral,contradiction,25.00%,"short_hypothesis, quantifier",False
A person jumps off of a cliff into the water below as others watch.,She was climbing a mountain.,contradiction,neutral,20.00%,other,False
A male hiker wearing a brown hat is standing next to a triangular monument on the top of a mountain.,A man exercises outdoors.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
People working digging a hole.,There are people covering up a hole that someone is stuck inside of.,contradiction,neutral,15.38%,low_overlap,False
People working digging a hole.,People are outside digging a hole.,entailment,neutral,66.67%,missed_entailment,False
A man is looking affected by results from his poker game.,The man lost the game,neutral,contradiction,25.00%,other,False
"Four young people stand in a circle conversing, while a man in white button-down shirt, coral colored pants and green hand bandage stands to the side.",The man is excluded from the conversation,entailment,contradiction,33.33%,false_contradiction,False
A middle-aged woman pretends to be a DJ as younger people point.,A woman is a DJ for a party in a submarine.,contradiction,neutral,37.50%,other,False
A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women exercising at the beach.,neutral,entailment,66.67%,false_entailment,False
"A young male child, wearing khaki pants and a red striped polo shirt, sitting on a steel slide in a public playground.",A young child playing outdoors.,neutral,entailment,40.00%,false_entailment,False
A woman wearing a pink dress with gold around the midsection is standing in between two rows of people at a banquet.,A women in in a room that has food.,neutral,entailment,28.57%,false_entailment,False
A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows.,A bride is taking pictures at a barn.,entailment,neutral,71.43%,"high_overlap, missed_entailment",False
A man smiles while he holds a newborn in a church pew.,Someone holding their baby is smiling while sitting down.,entailment,neutral,11.11%,"low_overlap, missed_entailment",False
A brown dog is trying to retrive his orange ball that has fallen in a dirt hole.,A dog is trying to get his toy back.,entailment,neutral,66.67%,missed_entailment,False
A young girl in a pretty pink and white blouse and shorts is participating in a soccer game with other children.,A girl is running towards the camera kicking a soccer ball away from other kids.,neutral,contradiction,35.71%,long_hypothesis,False
A young man is pushing a lawn mower to mow the grass.,A guy rides a lawn mower in the grass.,contradiction,entailment,62.50%,missed_contradiction,False
"Six children at a table with a green tablecloth, five female, one male, looking at the camera, plates and condiments at the table, two empty chairs, and red roses in the background",The kids all have food on their plates.,neutral,contradiction,12.50%,"low_overlap, quantifier",False
"Six children at a table with a green tablecloth, five female, one male, looking at the camera, plates and condiments at the table, two empty chairs, and red roses in the background",Kids are sitting in six of the eight chairs.,entailment,contradiction,33.33%,false_contradiction,False
A person with an electric drill doing something to a toy animal.,The toy is drilling a person with electricity.,contradiction,entailment,50.00%,missed_contradiction,False
Several people wait to checkout inside a store with a warehouse looking ceiling.,home depot is making everybody wait for no reason,neutral,contradiction,11.11%,"negation, low_overlap, quantifier",True
A group of women wearing bikinis are playing beach volleyball.,Women play volleyball fully covered.,contradiction,neutral,20.00%,other,False
A man sweeping in the street.,A man is using his vaccuum to clean the street.,contradiction,neutral,40.00%,other,False
"Male in brown leather jacket and black slacks, looking down at his phone, leaning against a brown painted box.","Male in brown leather jacket and tight black slacks, looking down at his phone",entailment,neutral,85.71%,"high_overlap, missed_entailment",False
"Woman in a dress standing in front of a line of a clothing line, with clothes hanging on the line.",The woman is wearing all denim.,neutral,contradiction,33.33%,quantifier,False
Excavation of the ruins of a ancient temple.,People line up at the temple.,contradiction,neutral,33.33%,other,False
"A child, wearing a tie, jumps off steps.",A child is playing.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
A black dog holding an orange object in the water.,A dog is trying to peel an orange in the water.,contradiction,neutral,63.64%,other,False
"A man in a pink shirt is stealing an old couples bike, the possibility he is a loan shark collecting his dues are high.",The couple looks on as their bike gets stolen.,neutral,entailment,11.11%,"low_overlap, false_entailment",False
"A man in a pink shirt is stealing an old couples bike, the possibility he is a loan shark collecting his dues are high.",A couple is giving a man a bike as a gift.,contradiction,neutral,37.50%,other,False
A smiling woman is playing the violin in front of a turquoise background.,A woman is sitting and playing the violin.,entailment,neutral,62.50%,missed_entailment,False
"Two men, both have glasses, are wearing striped shirts are in the kitchen preparing a meal and washing up.",Two men are talking as their wives make dinner in the kitchen.,contradiction,neutral,33.33%,other,False
Four people in emergency suits and helmets spray water from behind a cement wall.,Fire fighters are battling a fire safely behind a cement wall.,neutral,contradiction,44.44%,other,False
A sports match is taking place between one team wearing the colors red and white and another team sporting the colors black and blue.,The two teams are wearing different colors.,entailment,contradiction,28.57%,"negation, false_contradiction",True
A female basketball player dribbling down court.,A basketball player is destroying the ball.,neutral,contradiction,42.86%,other,False
A man wearing a black balloon animal shirt is making a circle out of balloons.,The man knows how to make animals out of balloons.,neutral,entailment,40.00%,"negation, false_entailment",True
A goalie is watching the action during a soccer game.,The goalie is sitting in the highest bench of the stadium.,neutral,contradiction,33.33%,other,False
A goalie is watching the action during a soccer game.,The goalie is standing by the net as the soccer game takes place.,entailment,neutral,36.36%,missed_entailment,False
Indian women playing musical chairs with white woman.,indian women playing musical chairs with white woman in out door,entailment,neutral,63.64%,missed_entailment,False
A motorcycle races.,A bike is going fast.,neutral,entailment,20.00%,false_entailment,False
"Two fencers dressed in the sport's traditional white suit and protective mask, practice their dueling.",two people slash violently at each other,neutral,contradiction,14.29%,"low_overlap, quantifier",False
Two women in bathing suits climb rock piles by the ocean.,Women in dresses climb lobster piles.,contradiction,neutral,50.00%,other,False
Several people wearing foil crowns gathered around a table eating.,A group of people are filling their belly with food.,entailment,neutral,20.00%,"quantifier, missed_entailment",False
A child turning a crank with benches behind him.,The child is playing with a jack-in-the-box in the park.,neutral,contradiction,33.33%,other,False
